Title,Company Name,Area,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Gender,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
Receptionist,Confidential,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Medical,Customer Service/Support,,,,,,,,,,
Receptionist,Wham Clinics,,Cairo,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist,Wham Clinics,,Cairo,Egypt,Full Time,Entry Level,1,,· females_only,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist,Value,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist (Cairo),OPPO Egypt,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist (Front Office),ATRIC Developments,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Admin,Admin,,,,,,,,,,
Receptionist (Heliopolis),MTI Automotive,,Cairo,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Receptionist / Front Desk Officer,Helio Dental Clinics,,Cairo,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist / Front Office Admin,Smart GYM,,Cairo,Egypt,Full Time,Entry Level,1,4,,Wuzzuf,Administration ,Sales,Customer Service/Support,,,,,,,,,,
Receptionist / Front Office Specialist,Equity Developments,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,Administration ,Admin,Admin,,,,,,,,,,
Receptionist / Real Estate,Next Home,,Cairo,Egypt,Full Time,Experienced,2,4,· females_only,Wuzzuf,Administration ,Experience,Experience,,,,,,,,,,
Receptionist / Secretary,International Corporation For Import,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist /Front Desk,DerMund,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Administration ,Admin,Customer Service/Support,,,,,,,,,,
Receptionist & Admin Assistant,Canex Aluminum,,Giza,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Receptionist & Admin Assistant,Psychology Center,,Cairo,Egypt,Full Time,Entry Level,0,1,,Wuzzuf,Administration ,Admin,Admin,,,,,,,,,,
Receptionist & Admin Assistant,CompuGeorge,,Giza,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist & Admin Assistant,INSIDER,,Cairo,Egypt,Full Time,Entry Level,0,3,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Receptionist & Administrative Assistant,Jumeirah Egypt Trading & Contracting Co,,Giza,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Receptionist & Secretary,Green Line For Glass Metal Architecture,,Cairo,Egypt,Full Time,Entry Level,0,1,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Receptionist And Front Office Admin,ElEZZ Construction & Trading,,Cairo,Egypt,Full Time,Experienced,3,,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist and Office Admin,Constructa Real Estate,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Admin,Customer Service/Support,,,,,,,,,,
Receptionist Supervisor,Amsterdam Clinics,,Alexandria,Egypt,Full Time,Experienced,5,8,,Wuzzuf,Administration ,Admin,Customer Service/Support,,,,,,,,,,
Receptionist/Front Office,Al Rabat,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist/Front Office Admin,emtelak,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Recruitment Coordinator,Sky Distribution,,Giza,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Recruitment,Human Resources,,,,,,,,,,
Recruitment Specialist,MidEast Communication Systems,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Human Resources (HR),Human Resources,,,,,,,,,,
Regional Medical Concierge Supervisor,Confidential,,Alexandria,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Administration ,Area Manager,Operations/Management,,,,,,,,,,
Business Coordinator,FloraDoor,,Cairo,Egypt,Full Time,Entry Level,0,3,,Wuzzuf,Administration ,English,Customer Service/Support,,,,,,,,,,
Registration & Call Center Agent,A1 educenter,,Cairo,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Administration ,Education,Customer Service/Support,,,,,,,,,,
Medical Data Processor (Science Graduates),NEXtCARE,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,Administration ,Science,R&D,Science,Science,Health Care,Insurance,,,,,,
Reservation and Admin Officer,Real Egypt,,Alexandria,Egypt,Full Time,Entry Level,,,,Wuzzuf,Administration ,Computer Skills,Customer Service/Support,,,,,,,,,,
Sales Admin,Interact Technology Solutions,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Microsoft Office,Microsoft Office,,,,,,,,,,
MEP Document Controller,Modern Engineering Platform – Al Sharif Holding Group,,Cairo,Egypt,Full Time,Experienced,5,7,,Wuzzuf,Administration ,Admin,Engineering,Construction,Civil,Architecture,Admin,Administration,Document Control,,,,
Sales Admin,Confidential,,Cairo,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Sales Admin,Asset Tap,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,CRM,Customer Service/Support,,,,,,,,,,
Sales Admin,Confidential,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Sales,Human Resources,,,,,,,,,,
Sales Admin-Real Estate,Target For Property,,Cairo,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Administration ,Experience,Customer Service/Support,,,,,,,,,,
Sales Administrator,Dreem Mashreq Foods,,Giza,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Sales Administrator,Roots Management Consultants,,Cairo,Egypt,Full Time,Entry Level,1,4,,Wuzzuf,Administration ,Business Administration,Customer Service/Support,,,,,,,,,,
Sales Administrator,Confidential,,Cairo,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Administration ,CRM,CRM,,,,,,,,,,
Sales Administrator,Ghalioungui,,Cairo,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Administration ,Sales,Sales,,,,,,,,,,
Sales Administrator for a Real-estate Company,Qmind,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Sales,Operations/Management,,,,,,,,,,
Merchandising Assistant,Retail Group Egypt,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,Administration ,sales skills,Sales,Retail,sales skills,Sales,Retail,,,,,,
Sales Assistant,Amina K.,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Customer Service,Customer Service/Support,,,,,,,,,,
Sales Coordinator,EL Mohandess Press,,Sharqia,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Administration ,Customer Service,Customer Service/Support,,,,,,,,,,
Sales Coordinator,Jaffangroup,,Cairo,Egypt,Full Time,Entry Level,,,,Wuzzuf,Administration ,Customer Service,Customer Service/Support,,,,,,,,,,
Sales Coordinator,ERA Egypt,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Administration ,Coordinator,Customer Service/Support,,,,,,,,,,
Office Administrator,Multicare,,Dakahlia,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Administration,Sales,Retail,Pharmaceutical,Microsoft Office,office,,,,,,
Office Manager,Paradise Inn Hotels & Resorts,,Alexandria,Egypt,Full Time,Experienced,10,,,Wuzzuf,Administration ,Administration,Hospitality,Hotels,Food Services,Administration,Secretary,Microsoft Office,,,,,
Office Secretary,Menatours,,Giza,Egypt,Full Time,Experienced,5,10,,Wuzzuf,Administration ,Administration,Tourism,Travel,Administration,Management,Secretary,,,,,,
Operation Coordinator,Wever,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Customer Service,Logistics,Supply Chain,Operations/Management,Logistics,Management,,,,,,
Operations Administrator,Confidential,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Operations,Installation,Maintenance,Repair,Engineering - Mechanical/Electrical,Administration,Communication,,,,,
Operations/Logistic Coordinator,SABA,,Cairo,Egypt,Full Time,Entry Level,1,4,,Wuzzuf,Administration ,Logistics,Logistics,Supply Chain,Operations/Management,Operations,Microsoft Office,,,,,,
Sales Representative (Food Distribution),Dayrah Solutions,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Marketing,Manufacturing/Production,,,,,,,,,,
Order Processing,DMG MORI,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,Administration ,Administration,Sales,Retail,Administration,Office Management,Admin Assistant,,,,,,
Sales Support,Al-Mansour,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Office Management,Customer Service/Support,,,,,,,,,,
School Administrative Manager,Confidential,,Qalubia,Egypt,Full Time,Manager,3,6,,Wuzzuf,Administration ,Administration,Operations/Management,,,,,,,,,,
Personal Assistant,Paradise Inn Hotels & Resorts,,Alexandria,Egypt,Full Time,Experienced,7,,,Wuzzuf,Administration ,Administration,Hospitality,Hotels,Food Services,Administration,Secretary,Microsoft Office,,,,,
Secretary,Zekri Tours,,Giza,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Secretary,Abrag for trading and industry,,Cairo,Egypt,Full Time,Experienced,4,6,,Wuzzuf,Administration ,Office management,Office management,,,,,,,,,,
Secretary,Espranza for Scientific Instruments,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Secretary,Confidential,,Giza,Egypt,Full Time,Experienced,3,6,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Secretary,El-maadi Trading & Distrbution,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,Administration ,Secretary,Secretary,,,,,,,,,,
Secretary,Pickalbatros,,Cairo,Egypt,Full Time,Entry Level,0,4,,Wuzzuf,Administration ,English,English,,,,,,,,,,
Secretary,Billenda,,Damietta,Egypt,Full Time,Entry Level,1,5,,Wuzzuf,Administration ,Microsoft Outlook,Microsoft Outlook,,,,,,,,,,
Secretary,Concrete For Readymade Garments,,Giza,Egypt,Full Time,Experienced,3,4,,Wuzzuf,Administration ,Italian,Customer Service/Support,,,,,,,,,,
Secretary,AL AMAL COMPANY EOR FOOD STUFF,,Giza,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Secretaty,Secretaty,,,,,,,,,,
Secretary,Confidential,,Cairo,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Administration ,secretary,secretary,,,,,,,,,,
Secretary,MENA For Contracting & Trading,,Giza,Egypt,Full Time,Experienced,2,5,· females_only,Wuzzuf,Administration ,Secretary,Secretary,,,,,,,,,,
Secretary,Dar Al Arqam,,Cairo,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Administration ,Secretary,Customer Service/Support,,,,,,,,,,
Secretary,Confidential,,Giza,Egypt,Full Time,Experienced,4,,· females_only,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Secretary,Eltakamol,,Cairo,Egypt,Full Time,Experienced,5,8,· females_only,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Secretary,Perfect Vision,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Secretary,ESC,,Cairo,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Secretary,Ctopya,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Secretary,Secretary,,,,,,,,,,
Secretary,Saveto,,Sharqia,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Operations/Management,,,,,,,,,,
Secretary,Target For Property,,Cairo,Egypt,Full Time,Experienced,1,,,Wuzzuf,Administration ,computer,Customer Service/Support,,,,,,,,,,
Secretary,SATA Group,,Cairo,Egypt,Full Time,Experienced,3,,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Secretary,Zamil Steel Buildings Co,,Giza,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Secretary,Secretary,,,,,,,,,,
Secretary,Advance Water Treatment,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Secretary,ShadyPack,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Microsoft Office,Customer Service/Support,,,,,,,,,,
Secretary,OneMore.egypt,,Cairo,Egypt,Full Time,Experienced,3,6,,Wuzzuf,Administration ,business,business,,,,,,,,,,
Secretary,Confidential,,Cairo,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Administration ,Admin,Admin,,,,,,,,,,
Secretary,sofipack,,Cairo,Egypt,Full Time,Experienced,5,10,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Secretary,EGY-PT,,Cairo,Egypt,Full Time,Entry Level,1,5,,Wuzzuf,Administration ,Microsoft Office,Microsoft Office,,,,,,,,,,
secretary,planit,,Cairo,Egypt,Full Time,Entry Level,1,5,,Wuzzuf,Administration ,Office management,Customer Service/Support,,,,,,,,,,
Secretary,Contrade Foodservice Center,,Cairo,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Secretary,Confidential,,Sharqia,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Administration ,Administration,Human Resources,,,,,,,,,,
Secretary,Teqnia for Engineering and Development,,Cairo,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Secretary,ADCO,,Giza,Egypt,Full Time,Entry Level,1,5,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Secretary,Confidential,,Cairo,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Secretary,Smart EGAT,,Giza,Egypt,Full Time,Experienced,5,,· females_only,Wuzzuf,Administration ,Office Management,Operations/Management,,,,,,,,,,
Secretary,Confidential,,Giza,Egypt,Full Time,Experienced,2,10,,Wuzzuf,Administration ,Secretary,Secretary,,,,,,,,,,
Secretary / Office Manager,Sagueny Group,,Alexandria,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Administration ,Secretary,Secretary,,,,,,,,,,
Secretary & Admin,othiam,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Microsoft Office,Microsoft Office,,,,,,,,,,
Secretary & CAD Drafter,TEPCO S.A.E.,,Giza,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Administration ,Data Archiving,Data Archiving,,,,,,,,,,
Secretary And Business Coordinator,Ghamry For Contracting & Real Estate,,Cairo,Egypt,Full Time,Entry Level,0,4,· males_only,Wuzzuf,Administration ,Secretary,Secretary,,,,,,,,,,
Secretary and Office Coordinator,TradeLink,,Cairo,Egypt,Full Time,Entry Level,0,3,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Secretary Business Coordinator,Concrete For Real Estate,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Management,Management,,,,,,,,,,
Secretary executive,Carnival Trading,,Alexandria,Egypt,Full Time,Experienced,5,,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Secretary- Law Firm,Confidential,,Alexandria,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Administration ,Translation,Translation,,,,,,,,,,
Secretary/ Office Manager,Confidential,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Secretary/Receptionist,FloChi wellness,,Cairo,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Administration ,Microsoft Office,Customer Service/Support,,,,,,,,,,
Senior Administrative Assistant,Caduceus Lane,,Alexandria,Egypt,Full Time,Experienced,8,,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Positive Discipline Assistant,Groupe Oasis Scolaire,,Cairo,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Administration ,Education,Education,Teaching,Education,Administration,Event,,,,,,
PR Assistant,AMH Technology,,Cairo,Egypt,Full Time,Experienced,3,6,,Wuzzuf,Administration ,Public Relations (PR),Marketing,PR,Public Relations (PR),PR,Secretary,Advertising,,,,,
Preschool Kindergarten Coordinator,Al mansour modern shool,,Sharqia,Egypt,Full Time,Entry Level,,,,Wuzzuf,Administration ,Kindergarten,Education,Teaching,Kindergarten,Nursery,Education,,,,,,
Senior Contract Administrator,Raafat Miller Consulting,,Cairo,Egypt,Full Time,Experienced,10,,,Wuzzuf,Administration ,Engineering,Legal,,,,,,,,,,
Senior Customer Relations On-Site (Senior Community Specialist),Travco Properties,,Matruh,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Customer Service,Customer Service/Support,,,,,,,,,,
Senior Customer Relations Specialist,Elsewedy industries,,Cairo,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Administration ,Customer Support,Customer Service/Support,,,,,,,,,,
Senior Document Controller (General Contracting),Confidential,,Cairo,Egypt,Full Time,Experienced,8,15,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Project Coordinator,Al Amin Technological Systems,,Cairo,Egypt,Full Time,Entry Level,0,3,,Wuzzuf,Administration ,business,IT,Software Development,Project/Program Management,Communication,Communication skills,,,,,,
Senior Front Office Admin,UDG Developments,,Cairo,Egypt,Full Time,Experienced,3,6,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Public Relations Coordinator,Links And Gains Law Firm,,Cairo,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Administration ,PR,Marketing,PR,Media/Journalism/Publishing,Marketing,Management,Advertising,,,,,
Purchasing Agent,ElEZZ Construction & Trading,,Cairo,Egypt,Full Time,Experienced,3,,· males_only,Wuzzuf,Administration ,Procurement,Logistics,Supply Chain,Purchasing/Procurement,Logistics,Purchasing,,,,,,
Purchasing Coordinator,El Abd Group,,Giza,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Supply Chain,Logistics,Supply Chain,Purchasing/Procurement,Procurement,Purchasing,,,,,,
Purchasing Coordinator,GT World OF Beauty,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Purchasing,Logistics,Supply Chain,Purchasing/Procurement,Supply Chain,English,,,,,,
Purchasing Coordinator,Carina Wear,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Supply Chain,Logistics,Supply Chain,Purchasing/Procurement,Procurement,Communication skills,,,,,,
Real Estate Sales Admin,Qawafil For Real Estate Investment,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Administration ,Real Estate,Sales,Retail,Real Estate,Sales,Sales Skills,,,,,,
Receptionist,Cairo medical dental,,Cairo,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Administration ,Dental,Hospitality,Hotels,Medical/Healthcare,Medical,Administration,Food Services,,,,,
Receptionist/Sales Administrator,Aqar masr,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Administration,Sales,Retail,Administration,Real Estate,CRM,,,,,,
Remedy BMC Admin,Ejada (Cairo),,Cairo,Egypt,Full Time,Experienced,7,,,Wuzzuf,Administration ,Computer Science,IT,Software Development,Engineering - Telecom/Technology,Information Technology (IT),BMC Remedy,,,,,,
Research Administrator,Heliopolis University,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Excel,R&D,Science,Analyst/Research,English,Internet Surfing,,,,,,
Retail Coordinator,Tradeline Stores,,Giza,Egypt,Internship,Entry Level,0,1,,Wuzzuf,Administration ,Sales,Sales,Retail,Sales,Retail,English,,,,,,
Business Support Coordinator,Qmind,,Cairo,Egypt,Full Time,Entry Level,0,1,,Wuzzuf,Administration ,business support,Operations/Management,,,,,,,,,,
Sales Admin,El Wardany Group,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Real Estate,Sales,Retail,Real Estate,Sales,Sales Skills,,,,,,
Sales Admin,URE,,Giza,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Admin,Sales,Retail,Admin,Real Estate,Administration,,,,,,
